COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:479
COMPONENT_RESIZED, size:java.awt.Dimension[width=490,height=470], bounds:java.awt.Rectangle[x=1,y=28,width=490,height=470], since:480
WINDOW_OPENED, v:java.awt.Dimension[width=492,height=499], since:482
COMPONENT_MOVED, size:java.awt.Dimension[width=498,height=471], bounds:java.awt.Rectangle[x=1,y=28,width=498,height=471], since:794
MOUSE_MOVED, x:172, y:282, bt:0, since:14078
MOUSE_MOVED, x:155, y:305, bt:0, since:14079
MOUSE_MOVED, x:141, y:321, bt:0, since:14125
MOUSE_MOVED, x:136, y:325, bt:0, since:14125
MOUSE_MOVED, x:132, y:334, bt:0, since:14126
MOUSE_MOVED, x:129, y:338, bt:0, since:14160
MOUSE_MOVED, x:127, y:344, bt:0, since:14220
MOUSE_MOVED, x:125, y:350, bt:0, since:14242
MOUSE_MOVED, x:123, y:366, bt:0, since:14266
MOUSE_MOVED, x:122, y:370, bt:0, since:14290
MOUSE_MOVED, x:119, y:382, bt:0, since:14344
MOUSE_MOVED, x:118, y:384, bt:0, since:14373
MOUSE_MOVED, x:116, y:390, bt:0, since:14373
MOUSE_MOVED, x:115, y:392, bt:0, since:14405
MOUSE_MOVED, x:112, y:401, bt:0, since:14405
MOUSE_MOVED, x:108, y:411, bt:0, since:14435
MOUSE_MOVED, x:107, y:413, bt:0, since:14481
MOUSE_MOVED, x:112, y:406, bt:0, since:14534
MOUSE_MOVED, x:115, y:403, bt:0, since:14583
MOUSE_MOVED, x:116, y:409, bt:0, since:14644
MOUSE_MOVED, x:113, y:415, bt:0, since:14697
MOUSE_MOVED, x:109, y:424, bt:0, since:14729
MOUSE_MOVED, x:109, y:425, bt:0, since:14794
MOUSE_MOVED, x:109, y:426, bt:0, since:14825
MOUSE_MOVED, x:110, y:426, bt:0, since:14911
MOUSE_MOVED, x:111, y:427, bt:0, since:14911
MOUSE_MOVED, x:111, y:428, bt:0, since:14943
MOUSE_MOVED, x:113, y:429, bt:0, since:14943
MOUSE_MOVED, x:114, y:429, bt:0, since:14976
MOUSE_MOVED, x:114, y:430, bt:0, since:15075
MOUSE_MOVED, x:114, y:431, bt:0, since:15102
MOUSE_MOVED, x:116, y:432, bt:0, since:15159
MOUSE_MOVED, x:116, y:433, bt:0, since:15183
