WINDOW_OPENED, v:java.awt.Dimension[width=500,height=500], since:253
MOUSE_DRAGGED, x:309, y:44, bt:0, since:10019
MOUSE_DRAGGED, x:309, y:42, bt:0, since:10185
MOUSE_DRAGGED, x:309, y:40, bt:0, since:10230
MOUSE_DRAGGED, x:309, y:39, bt:0, since:10271
MOUSE_DRAGGED, x:309, y:36, bt:0, since:10313
MOUSE_DRAGGED, x:309, y:35, bt:0, since:10358
MOUSE_DRAGGED, x:308, y:33, bt:0, since:10398
MOUSE_DRAGGED, x:307, y:33, bt:0, since:10492
MOUSE_DRAGGED, x:304, y:33, bt:0, since:10542
MOUSE_DRAGGED, x:302, y:35, bt:0, since:10590
MOUSE_DRAGGED, x:301, y:35, bt:0, since:10629
MOUSE_DRAGGED, x:301, y:37, bt:0, since:10673
MOUSE_DRAGGED, x:301, y:38, bt:0, since:10797
MOUSE_DRAGGED, x:301, y:40, bt:0, since:10850
MOUSE_DRAGGED, x:301, y:42, bt:0, since:10916
MOUSE_DRAGGED, x:302, y:44, bt:0, since:10977
MOUSE_DRAGGED, x:304, y:44, bt:0, since:11066
MOUSE_DRAGGED, x:307, y:44, bt:0, since:11122
MOUSE_DRAGGED, x:311, y:43, bt:0, since:11164
MOUSE_DRAGGED, x:312, y:43, bt:0, since:11219
MOUSE_DRAGGED, x:312, y:41, bt:0, since:11509
MOUSE_DRAGGED, x:312, y:40, bt:0, since:11553
MOUSE_RELEASED, x:312, y:40, bt:16, since:11611
MOUSE_MOVED, x:311, y:40, bt:0, since:11612
MOUSE_MOVED, x:308, y:84, bt:0, since:11761
MOUSE_MOVED, x:329, y:141, bt:0, since:11807
MOUSE_MOVED, x:340, y:169, bt:0, since:11847
MOUSE_MOVED, x:341, y:184, bt:0, since:11897
MOUSE_MOVED, x:344, y:205, bt:0, since:11954
MOUSE_MOVED, x:345, y:233, bt:0, since:12016
MOUSE_MOVED, x:344, y:239, bt:0, since:12066
MOUSE_MOVED, x:341, y:243, bt:0, since:12119
MOUSE_MOVED, x:340, y:244, bt:0, since:12168
MOUSE_MOVED, x:330, y:252, bt:0, since:12225
MOUSE_MOVED, x:322, y:262, bt:0, since:12273
MOUSE_MOVED, x:321, y:263, bt:0, since:12332
MOUSE_PRESSED, x:321, y:263, bt:16, since:12388
MOUSE_DRAGGED, x:321, y:265, bt:0, since:12492
MOUSE_DRAGGED, x:320, y:266, bt:0, since:12543
MOUSE_DRAGGED, x:320, y:267, bt:0, since:12639
MOUSE_DRAGGED, x:320, y:268, bt:0, since:12748
MOUSE_DRAGGED, x:317, y:270, bt:0, since:12804
MOUSE_DRAGGED, x:314, y:271, bt:0, since:12856
MOUSE_DRAGGED, x:312, y:271, bt:0, since:12905
MOUSE_DRAGGED, x:308, y:271, bt:0, since:12949
MOUSE_DRAGGED, x:304, y:272, bt:0, since:12990
MOUSE_DRAGGED, x:302, y:272, bt:0, since:13030
MOUSE_DRAGGED, x:300, y:272, bt:0, since:13063
MOUSE_DRAGGED, x:299, y:272, bt:0, since:13144
MOUSE_DRAGGED, x:298, y:272, bt:0, since:13265
MOUSE_DRAGGED, x:297, y:272, bt:0, since:13265
MOUSE_DRAGGED, x:296, y:273, bt:0, since:13296
MOUSE_DRAGGED, x:294, y:273, bt:0, since:13326
MOUSE_DRAGGED, x:293, y:273, bt:0, since:13355
MOUSE_DRAGGED, x:288, y:273, bt:0, since:13415
MOUSE_DRAGGED, x:281, y:273, bt:0, since:13455
MOUSE_DRAGGED, x:274, y:273, bt:0, since:13489
MOUSE_DRAGGED, x:267, y:273, bt:0, since:13522
MOUSE_DRAGGED, x:259, y:276, bt:0, since:13561
MOUSE_DRAGGED, x:256, y:277, bt:0, since:13602
MOUSE_DRAGGED, x:254, y:277, bt:0, since:13640
MOUSE_DRAGGED, x:253, y:279, bt:0, since:13686
MOUSE_DRAGGED, x:252, y:281, bt:0, since:13728
MOUSE_DRAGGED, x:252, y:284, bt:0, since:13770
MOUSE_DRAGGED, x:250, y:288, bt:0, since:13809
MOUSE_DRAGGED, x:250, y:290, bt:0, since:13853
MOUSE_DRAGGED, x:250, y:291, bt:0, since:13905
MOUSE_DRAGGED, x:250, y:293, bt:0, since:13974
MOUSE_DRAGGED, x:248, y:294, bt:0, since:14035
MOUSE_DRAGGED, x:247, y:295, bt:0, since:14085
MOUSE_RELEASED, x:247, y:295, bt:16, since:14258
KEY_PRESS, code:38, since:14975
KEY_RELEASE, code:38, since:15107
KEY_PRESS, code:38, since:15224
KEY_RELEASE, code:38, since:15310
KEY_PRESS, code:38, since:15374
KEY_RELEASE, code:38, since:15504
KEY_PRESS, code:38, since:15548
KEY_RELEASE, code:38, since:15615
KEY_PRESS, code:38, since:15684
KEY_RELEASE, code:38, since:15755
KEY_PRESS, code:38, since:15843
KEY_RELEASE, code:38, since:15946
KEY_PRESS, code:38, since:16038
KEY_RELEASE, code:38, since:16146
KEY_PRESS, code:39, since:16259
KEY_RELEASE, code:39, since:16442
KEY_PRESS, code:39, since:16495
KEY_RELEASE, code:39, since:16613
KEY_PRESS, code:39, since:16726
KEY_RELEASE, code:39, since:16820
KEY_PRESS, code:39, since:16897
KEY_RELEASE, code:39, since:17061
KEY_PRESS, code:39, since:17100
KEY_RELEASE, code:39, since:17263
KEY_PRESS, code:39, since:17320
KEY_RELEASE, code:39, since:17468
KEY_PRESS, code:39, since:17550
KEY_RELEASE, code:39, since:17690
KEY_PRESS, code:39, since:17748
KEY_RELEASE, code:39, since:17869
KEY_PRESS, code:39, since:17985
KEY_RELEASE, code:39, since:18145
KEY_PRESS, code:39, since:18190
KEY_RELEASE, code:39, since:18356
KEY_PRESS, code:38, since:18477
KEY_RELEASE, code:38, since:18609
KEY_PRESS, code:38, since:18688
KEY_RELEASE, code:38, since:18773
KEY_PRESS, code:38, since:18864
KEY_RELEASE, code:38, since:18991
MOUSE_MOVED, x:319, y:271, bt:0, since:19361
MOUSE_MOVED, x:370, y:206, bt:0, since:19389
MOUSE_MOVED, x:383, y:156, bt:0, since:19417
MOUSE_MOVED, x:386, y:137, bt:0, since:19449
MOUSE_MOVED, x:387, y:134, bt:0, since:19481
MOUSE_MOVED, x:387, y:133, bt:0, since:19510
MOUSE_MOVED, x:387, y:130, bt:0, since:19538
MOUSE_MOVED, x:386, y:118, bt:0, since:19569
MOUSE_MOVED, x:372, y:94, bt:0, since:19598
MOUSE_MOVED, x:377, y:46, bt:0, since:19631
MOUSE_MOVED, x:385, y:8, bt:0, since:19673
MOUSE_MOVED, x:338, y:6, bt:0, since:20025
